artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Adele,Rolling In The Deep,0.729,0.777,8,-5.112,1,0.0293,0.13,0,0.0541,0.527,104.946,228293,4
We Rabbitz,Faded - Acoustic,0.416,0.232,3,-11.394,1,0.0306,0.964,0.000113,0.15,0.152,179.969,176167,4
We Rabbitz,Friends,0.497,0.806,0,-4.283,1,0.0586,0.012,1.7e-06,0.127,0.455,170.204,155735,4
We Rabbitz,My Immortal - Acoustic,0.462,0.215,4,-10.298,1,0.0345,0.799,0,0.139,0.157,109.326,202737,3
We Rabbitz,"I Hate U, I Love U",0.501,0.579,6,-8.522,0,0.0978,0.0381,0,0.139,0.341,122.146,267429,5
Bebe Rexha,I'm a Mess,0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,195519,4
Dean Lewis,Be Alright,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
Jake Owen,Down To The Honkytonk,0.623,0.828,3,-4.272,1,0.0565,0.162,0,0.0976,0.953,82.059,183140,4
Aloe Blacc,Brooklyn In The Summer,0.656,0.514,5,-5.27,1,0.0672,0.0914,0,0.058,0.818,120.073,208214,4
OneRepublic,Connection,0.611,0.602,5,-4.89,1,0.0437,0.000837,0,0.112,0.624,168.154,148460,4
Tech N9ne Collabos,Dysfunctional,0.782,0.835,10,-4.278,0,0.283,0.281,0,0.459,0.527,80.014,240173,4
Miley Cyrus,7 Things - Single Version,0.59,0.903,1,-4.478,0,0.0363,0.0232,0,0.0786,0.542,107.023,213453,4
Niall Horan,On The Loose - Alternate Version,0.689,0.647,11,-5.157,0,0.046,0.0321,0,0.0693,0.897,125.088,158923,4
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",0.792,0.895,1,-3.112,0,0.0589,0.165,0,0.0501,0.794,94.968,201526,4
Ariana Grande,Break Free,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,4
Imagine Dragons,Next To Me,0.296,0.683,2,-4.413,1,0.0632,0.284,7.74e-05,0.0418,0.398,171.365,230289,3
Meghan Trainor,TREAT MYSELF,0.689,0.684,8,-4.561,1,0.0463,0.00284,0,0.758,0.692,107.989,173767,4
Meghan Trainor,I Love Me,0.778,0.829,11,-4.447,1,0.201,0.0357,3.83e-05,0.334,0.686,96.998,167760,4
Baha Men,Bumpa,0.882,0.781,6,-3.406,1,0.0468,0.0161,0.000108,0.037,0.77,107.068,175776,4
Julia Michaels,Make It Up To You,0.909,0.487,11,-8.313,0,0.0979,0.0993,0,0.108,0.683,119.992,216453,4
Years & Years,If You're Over Me,0.647,0.853,8,-4.516,1,0.0904,0.0615,0,0.062,0.618,103.846,189000,4
Avicii,Trouble,0.689,0.799,9,-3.45,1,0.0392,0.0323,0,0.297,0.823,115.859,171507,4
Avicii,Waiting For Love,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,230613,4
Avicii,You Make Me,0.586,0.727,6,-4.799,1,0.039,0.00247,0.0107,0.152,0.496,124.99,233347,4
Banx & Ranx,Answerphone (feat. Yxng Bane),0.671,0.834,1,-3.928,0,0.0885,0.0387,0,0.454,0.454,113.021,190921,4
Ocean Park Standoff,If You Were Mine,0.656,0.773,8,-3.609,1,0.0297,0.00989,0,0.436,0.406,120.056,204380,4
Sam Hunt,Downtown's Dead,0.624,0.696,11,-6.006,1,0.0469,0.109,0,0.132,0.392,82.001,213987,4
Elle King,Shame,0.656,0.935,11,-2.476,1,0.0461,0.0205,0.00075,0.0731,0.916,120.011,159268,4
Lewis Capaldi,Tough,0.627,0.715,1,-5.019,1,0.0329,0.127,0,0.0768,0.481,115.005,229283,4
LP,Night Like This,0.667,0.488,5,-5.29,1,0.0283,0.237,0,0.103,0.177,116.996,240307,4
Luis Fonsi,Échame La Culpa,0.733,0.892,0,-3.641,1,0.0417,0.0376,0,0.137,0.675,95.989,173720,4
Sammy Adams,All Night Longer,0.712,0.649,1,-4.753,1,0.063,0.000652,0,0.0683,0.616,127.028,177093,4
MARINA,How to Be a Heartbreaker,0.69,0.897,11,-4.696,0,0.0506,0.0142,0,0.108,0.849,140.05,221493,4
Nicki Minaj,The Night Is Still Young,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016,227560,4
dodie,Sick of Losing Soulmates,0.519,0.275,2,-15.949,1,0.0383,0.645,0.135,0.356,0.113,75.148,267300,4
Sheck Wes,Mo Bamba,0.738,0.629,6,-4.882,0,0.0495,0.268,0.00114,0.163,0.319,146.067,180898,4
Kesha,Sleazy,0.755,0.895,9,-5.576,0,0.147,0.0165,0.0704,0.0987,0.856,169.992,205357,4
Migos,Bad and Boujee (feat. Lil Uzi Vert),0.926,0.666,11,-5.314,1,0.244,0.0611,0,0.123,0.168,127.079,343150,4
Gwen Stefani,Rich Girl,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49e-05,0.206,0.722,98.018,236213,4
Queen,Don't Stop Me Now - Remastered 2011,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,4
Caleb and Kelsey,Never Enough,0.513,0.374,7,-6.554,1,0.0356,0.782,0,0.154,0.348,133.022,201874,4
Jade Bird,Cathedral,0.612,0.631,5,-4.991,0,0.0804,0.747,0,0.125,0.46,94.985,170373,4
Jesse McCartney,Leavin',0.687,0.71,9,-5.84,1,0.0522,0.0283,3.71e-06,0.0689,0.886,79.235,216880,4
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,4
Alan Walker,Faded,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,4
We Rabbitz,Faded,0.561,0.716,0,-6.761,0,0.0338,0.0481,0.000233,0.123,0.135,109.996,172909,4
Zameer Rizvi,Don't Stop Movin',0.69,0.882,7,-4.409,1,0.0592,0.301,0.000238,0.177,0.872,139.977,196455,4
Rachel Platten,Shivers,0.838,0.724,0,-3.025,1,0.0754,0.0934,1.73e-06,0.0522,0.385,112.992,175333,4
Nathan Sykes,Burn Me Down,0.342,0.607,0,-5.934,1,0.0365,0.0511,0,0.243,0.309,63.664,239933,4
Sia,Thunderclouds,0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,187027,4
Hozier,Nina Cried Power (feat. Mavis Staples),0.29,0.889,1,-2.611,1,0.159,0.00949,0,0.0821,0.651,98.835,225213,4
Hozier,Moment's Silence (Common Tongue),0.516,0.593,0,-5.09,1,0.0252,0.055,0.0401,0.111,0.53,76.018,254840,4
Hozier,NFWMB,0.379,0.373,3,-12.176,0,0.0309,0.895,0.0718,0.115,0.352,176.002,259253,1
Michelle Branch,Everywhere,0.523,0.828,1,-4.696,1,0.0762,0.0136,0.000255,0.165,0.476,96.952,214827,4
Alan Walker,The Spectre,0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,193788,4
Marshmello,Happier,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4
Bryce Vine,Drew Barrymore,0.758,0.574,11,-6.889,0,0.0572,0.46,0.00272,0.102,0.261,151.985,191147,4
Rita Ora,Let You Love Me,0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,190000,4
French Montana,No Stylist (feat. Drake),0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,192172,4
Lil Mosey,Noticed,0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,165000,4
Chris Brown,With You,0.662,0.693,3,-4.298,1,0.0698,0.134,0,0.145,0.655,86.009,252120,4
Baha Men,Who Let The Dogs Out,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,198400,4
August Twelfth,Home by Midnight,0.502,0.639,1,-8.322,1,0.0442,0.0292,0,0.211,0.35,89.988,250684,4
James Brown,Get Up Offa That Thing,0.883,0.664,4,-10.395,1,0.411,0.225,2.3e-06,0.941,0.8,118.104,250200,4
The Cardigans,Lovefool - Radio Edit,0.644,0.599,9,-7.941,1,0.0291,0.0445,0,0.286,0.948,111.829,193893,4
Bruno Mars,Finesse - Remix; feat. Cardi B,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,217289,4
Alicia Keys,If I Ain't Got You,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,3
Miley Cyrus,East Northumberland High,0.498,0.83,10,-3.779,1,0.0537,0.00232,5.69e-06,0.137,0.683,81.726,204293,4
Culture Club,Karma Chameleon,0.676,0.577,10,-12.031,1,0.0365,0.186,0,0.148,0.934,91.98,241600,4
Afroman,Crazy Rap (Colt 45 & 2 Zig Zags),0.928,0.371,9,-7.887,1,0.375,0.325,0,0.171,0.55,99.061,328667,4
Adele,Water Under the Bridge,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54e-05,0.108,0.472,94.982,240427,4
Avril Lavigne,What the Hell,0.577,0.934,2,-3.672,1,0.0554,0.00405,0.0064,0.123,0.855,149.964,219653,4
James Wolpert,Somebody To Love - The Voice Performance,0.507,0.922,8,-3.597,1,0.06,0.163,0,0.229,0.469,110.977,210716,1
Tab Hunter,Reproduction,0.82,0.511,2,-9.032,1,0.0693,0.424,0,0.117,0.747,144.407,247493,4
The Notorious B.I.G.,Juicy - 2005 Remaster,0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,302760,4
Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),0.575,0.758,1,-5.029,0,0.0618,0.0954,0,0.394,0.493,144.107,182623,4
Dirty Heads,Oxygen,0.68,0.878,8,-3.923,0,0.0554,0.0744,0,0.137,0.769,169.987,225395,4
Cher Lloyd,None Of My Business,0.793,0.488,2,-5.807,0,0.0462,0.428,0,0.0823,0.5,133.957,184005,4
Lauren Daigle,You Say,0.494,0.637,5,-6.381,1,0.0333,0.669,0,0.0882,0.1,147.924,274693,4
Lennon Stella,Bad,0.827,0.613,8,-5.34,1,0.0621,0.366,1.25e-05,0.093,0.747,137.96,177973,4
Big Sean,I Don't Fuck With You,0.823,0.733,1,-5.474,1,0.0628,0.0349,0,0.324,0.397,97.972,284387,4
Pentatonix,Hallelujah,0.322,0.377,7,-7.385,0,0.0356,0.454,0,0.338,0.366,118.669,268960,4
Pentatonix,Can't Help Falling In Love,0.272,0.16,9,-9.947,1,0.0323,0.729,0,0.18,0.142,98.612,178200,3
Pentatonix,Feel It Still,0.742,0.726,11,-5.755,1,0.0582,0.0531,0,0.0803,0.93,77.48,180680,4
Pentatonix,Starships,0.694,0.681,6,-6.956,0,0.0944,0.0176,0,0.447,0.716,128.061,182000,4
Pentatonix,Bohemian Rhapsody,0.341,0.42,8,-6.567,1,0.0318,0.183,0,0.0967,0.306,145.808,355733,4
Pentatonix,Take On Me,0.499,0.519,9,-6.674,1,0.0344,0.00876,0,0.249,0.517,165.036,209000,4
Travis Scott,STARGAZING,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,270715,4
Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,0.713,0.831,1,-4.75,0,0.15,0.0168,0,0.118,0.584,173.948,332301,4
French Montana,Unforgettable,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4
Jaden,Watch Me,0.734,0.722,0,-4.872,1,0.071,0.0108,0.000201,0.157,0.229,129.927,154456,4
Travis Scott,HOUSTONFORNICATION,0.689,0.723,0,-4.052,0,0.0836,0.0985,0,0.158,0.288,160.042,217828,4
Logic,Everyday,0.667,0.741,1,-4.099,1,0.0378,0.0425,0,0.0761,0.422,149.908,204747,4
Travis Scott,Pray 4 Love (feat. The Weeknd),0.629,0.578,1,-4.704,1,0.0428,0.2,0,0.151,0.211,79.94,307000,4
Huncho Jack,Moon Rock,0.72,0.717,8,-4.043,1,0.046,0.0092,0,0.147,0.198,142.926,151184,4
Keala Settle,"This Is Me (The Reimagined Remix) [with Keala Settle, Kesha & Missy Elliott]",0.44,0.514,11,-6.874,0,0.266,0.0994,0,0.0768,0.219,93.168,265733,4
P!nk,A Million Dreams,0.312,0.499,7,-6.282,1,0.0397,0.272,0,0.0901,0.191,148.173,273640,4
Kelly Clarkson,Never Enough,0.398,0.512,8,-7.148,1,0.0486,0.139,0,0.115,0.0956,133.659,204133,4
James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,218293,4
Panic! At The Disco,The Greatest Show,0.546,0.839,6,-5.365,0,0.0784,0.00546,0,0.382,0.491,77.009,174307,4
Sara Bareilles,Tightrope,0.514,0.266,9,-13.021,1,0.0331,0.908,0.0107,0.0838,0.0647,97.007,218320,4
Pentatonix,The Greatest Show - Bonus Track,0.499,0.779,11,-5.605,0,0.152,0.0757,0,0.261,0.722,157.337,205173,4
Migos,Walk It Talk It,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,276147,4
Cascada,Evacuate the Dancefloor - Radio Edit,0.748,0.696,0,-5.975,1,0.0493,0.0174,0,0.267,0.891,127.002,208360,4
Spendtime Palace,Blackout Control,0.471,0.687,1,-4.082,1,0.0303,0.0307,9.16e-05,0.137,0.356,133.842,181121,4
Black Eyed Peas,My Humps,0.801,0.682,1,-5.919,0,0.225,0.111,1.56e-05,0.109,0.586,123.95,326960,4
Aly & AJ,Potential Breakup Song,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,219773,4
Paramore,Still into You,0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,216013,4
Olesya Bi,Мальчик сходит с ума,0.682,0.741,9,-5.386,1,0.0361,0.601,0.000155,0.107,0.26,130.008,227187,4
Wulf G,4 AM,0.657,0.446,7,-10.303,0,0.0906,0.0202,0.00279,0.743,0.516,108.925,198217,4
Dan Stevens,Evermore,0.285,0.396,1,-8.741,1,0.0318,0.674,6.6e-05,0.102,0.219,79.442,194542,3
Niights,Keyhole,0.461,0.975,5,-3.125,0,0.0582,0.00142,0.000151,0.342,0.234,114.957,166986,4
Hobo Johnson,Peach Scone,0.583,0.408,7,-9.125,1,0.564,0.65,0,0.309,0.612,74.738,212800,3
Holmsey,Escape,0.774,0.529,1,-8.331,1,0.0427,0.634,0.0915,0.102,0.321,98.01,230204,4
Bazzi,Myself,0.745,0.561,9,-5.513,0,0.072,0.465,1.12e-06,0.0338,0.902,195.918,167553,4
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4
Hey Violet,Guys My Age,0.69,0.663,8,-5.248,0,0.0352,0.106,0,0.0659,0.285,122.041,213695,4
Phoebe Ryan,Middle Finger,0.704,0.664,9,-3.209,0,0.0468,0.141,0,0.107,0.533,99.963,241893,4
Haley Flake,Whistle,0.65,0.576,4,-10.406,1,0.0359,0.312,2.39e-05,0.116,0.441,95.017,184748,4
Kwesi Appiah,Secluded,0.775,0.779,2,-3.66,1,0.117,0.233,0.00137,0.121,0.579,168.885,193321,4
Tyler.V,Drop,0.376,0.652,0,-6.076,0,0.0575,0.772,0,0.057,0.58,130.824,211253,5
Christina Aguilera,Candyman,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,194213,4
Alexi Blue,Why Should I?,0.755,0.349,0,-9.723,1,0.0597,0.326,0,0.151,0.485,127.991,236885,4
Maroon 5,Harder To Breathe,0.662,0.908,1,-4.764,0,0.0449,0.0506,0,0.0508,0.967,149.941,173693,4
Jimmy Eat World,The Middle,0.618,0.861,2,-4.669,1,0.0552,0.0385,0,0.0604,0.881,162.147,165853,4
Nause,Dynamite (feat. Pretty Sister),0.811,0.801,9,-6.0,0,0.0802,0.0548,2.09e-05,0.0742,0.693,105.055,195429,4
DNCE,Truthfully,0.72,0.649,8,-6.886,1,0.0354,0.271,0,0.335,0.569,102.042,182653,4
Shakira,Loca (feat. El Cata),0.8,0.692,9,-5.57,0,0.0614,0.342,1.92e-06,0.0554,0.917,112.002,183693,4
Ariana Grande,"thank u, next",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,207333,4
BØRNS,Electric Love,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4
Charlotte Lawrence,Sleep Talking,0.661,0.762,5,-4.307,1,0.0402,0.452,0,0.162,0.583,101.99,224224,4
Faith Marie,Little Girl,0.383,0.429,9,-10.236,1,0.113,0.58,0,0.107,0.204,83.807,165927,1
Conan Gray,Generation Why,0.561,0.684,9,-8.235,1,0.0669,0.347,2.93e-06,0.122,0.528,81.977,219680,4
Stefflon Don,16 Shots,0.684,0.79,3,-4.871,0,0.0735,0.0271,0.000371,0.0854,0.549,95.083,224728,4
Enrique Iglesias,Bailando - English Version,0.719,0.844,7,-3.529,1,0.103,0.0793,0,0.0551,0.941,90.951,243240,4
Marian Hill,Down,0.678,0.357,0,-14.712,0,0.128,0.675,0.00569,0.124,0.0661,113.301,197773,5
Black Eyed Peas,Where Is The Love?,0.835,0.687,5,-3.18,1,0.184,0.101,0,0.132,0.828,94.059,272533,4
Kelly Clarkson,Because of You,0.583,0.58,5,-5.395,0,0.0319,0.243,0,0.198,0.119,139.82,220373,4
Britney Spears,Womanizer,0.724,0.695,11,-5.226,1,0.0622,0.073,0,0.0889,0.235,139.0,224400,4
Atomic Kitten,The Tide Is High - Radio Mix,0.776,0.693,7,-2.528,1,0.0314,0.0234,0.00177,0.0322,0.635,102.996,205360,4
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,158040,4
Alexi Blue,What I Wish for You,0.766,0.477,10,-10.169,0,0.334,0.294,0,0.148,0.686,90.021,223080,4
Mumford & Sons,Guiding Light,0.553,0.711,7,-7.714,1,0.0453,0.063,8.41e-06,0.0759,0.299,99.997,217633,4
Ansel Elgort,All I Think About Is You,0.46,0.785,1,-4.72,1,0.0642,0.0682,0,0.0971,0.464,97.948,188187,4
Nelly Furtado,Say It Right,0.871,0.869,1,-6.308,1,0.139,0.0409,0.00111,0.053,0.834,116.95,223080,4
Tomer,Wicked Game,0.543,0.524,2,-7.039,1,0.0276,0.604,0.116,0.341,0.123,122.094,215092,4
Beni Fahr,Blame.,0.718,0.514,8,-9.084,0,0.0948,0.0563,0,0.21,0.361,127.933,154920,4
Beni Fahr,Say It Aga!n,0.454,0.32,9,-8.951,1,0.0429,0.661,0.00476,0.108,0.0465,122.084,190624,1
Beni Fahr,Bloody Lies,0.625,0.578,5,-6.449,0,0.0311,0.0918,2.51e-05,0.0562,0.337,124.988,201600,4
Johnny Depp,"Hello, Little Girl",0.43,0.245,6,-15.004,1,0.116,0.671,0,0.078,0.457,136.675,151147,4
More Fatter,Yeah You,0.737,0.523,0,-9.119,1,0.0396,0.0259,1.81e-06,0.106,0.944,117.883,197800,4
Khalid,Talk,0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,197487,4
Ariana Grande,7 rings,0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,178640,4
My Sun and Stars,Hello,0.639,0.546,7,-6.519,1,0.0268,0.72,1.55e-05,0.237,0.551,96.066,208597,4
Adjust the Sails,Georgia,0.608,0.621,4,-9.118,1,0.0671,0.673,0.000128,0.115,0.345,81.694,218485,4
Grace VanderWaal,Stray,0.627,0.542,1,-7.204,0,0.0481,0.648,0,0.149,0.217,96.933,190787,4
Jonas Brothers,Sucker,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181040,4
Ryan Davies,Never Felt It,0.739,0.822,5,-3.901,1,0.0967,0.0916,0,0.235,0.866,102.949,170243,4
The Bellas,Cheap Thrills,0.662,0.636,6,-4.754,0,0.0427,0.429,0,0.0945,0.869,89.979,220027,4
The Vamps,Can We Dance,0.639,0.843,1,-4.734,0,0.0464,0.00226,0,0.227,0.546,130.135,193213,4
The Vamps,Just My Type - Nathan Jain Remix,0.61,0.916,2,-3.845,0,0.092,0.00228,0,0.185,0.732,125.034,189493,4
Beyoncé,Run the World (Girls),0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,236093,4
We The Kings,"Check Yes, Juliet",0.352,0.912,7,-4.253,1,0.0725,0.00197,0,0.193,0.351,166.795,220147,4
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",0.379,0.618,5,-7.065,1,0.0586,0.337,5.1e-06,0.102,0.4,147.53,209560,4
5 Seconds of Summer,Youngblood,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418,4
Brynn Cartelli,Beneath Your Beautiful - The Voice Performance,0.44,0.632,2,-5.667,1,0.029,0.0507,0,0.12,0.381,160.17,227223,4
Anthem Lights,"Emo Medley: Sugar, We're Going Down / The Anthem / Wake Me up When September Ends / Move Along",0.44,0.361,0,-5.115,1,0.0348,0.797,0,0.095,0.655,140.117,200319,1
Frankie Valli & The Four Seasons,Big Girls Don't Cry,0.815,0.606,7,-9.733,1,0.115,0.571,0,0.13,0.883,130.45,145973,4
Glee Cast,Bust A Move - Cover of Young MC,0.923,0.925,9,-4.966,1,0.093,0.1,8.02e-05,0.123,0.708,118.99,264333,4
Pitbull,"Shake Senora Remix (feat. T-Pain, Sean Paul & Ludacris)",0.711,0.936,0,-5.303,1,0.363,0.13,0,0.181,0.683,127.967,252360,4
Haley Flake,Playing Pretend,0.486,0.406,1,-11.436,0,0.0344,0.424,0,0.1,0.38,77.088,212924,4
Cameron Hobbs,Burnin' for You,0.534,0.63,9,-6.957,1,0.0267,0.00559,0,0.234,0.338,91.015,254840,4
Mac Miller,Self Care,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,4
Fergie,M.I.L.F. $,0.773,0.706,0,-5.709,1,0.0999,0.00538,0.0148,0.0208,0.693,160.912,162365,4
The Jepettos,Stereo,0.575,0.465,4,-9.152,1,0.027,0.56,0.00284,0.259,0.436,84.976,186500,4
Luniz,I Got 5 On It,0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926,253533,4
More Fatter,Silly Goose,0.819,0.406,3,-5.801,1,0.0735,0.194,0,0.379,0.318,125.947,167216,4
Coca Vango,Sauce All On Me,0.934,0.628,2,-5.084,1,0.0669,0.0538,3.72e-06,0.103,0.788,137.015,168425,4
Jonas Brothers,Cool,0.681,0.603,0,-5.533,1,0.0458,0.0105,0,0.159,0.643,79.007,167120,4
Dominic Cooper,Lay All Your Love On Me - From 'Mamma Mia!' Original Motion Picture Soundtrack,0.705,0.738,5,-5.402,0,0.0289,0.0102,0.000189,0.308,0.504,133.027,269440,4
Colin Firth,Our Last Summer - From 'Mamma Mia!' Original Motion Picture Soundtrack,0.635,0.459,7,-7.343,1,0.0244,0.246,0,0.259,0.433,96.056,177627,4
Pierce Brosnan,SOS - From 'Mamma Mia!' Original Motion Picture Soundtrack,0.543,0.736,0,-5.181,0,0.0309,0.0804,2.81e-06,0.133,0.385,123.353,199307,4
Koe Wetzel,Something to Talk About,0.612,0.934,9,-5.124,0,0.0663,0.049,0,0.103,0.293,130.006,204352,4
Dua Lipa,Kiss and Make Up,0.678,0.729,8,-4.188,1,0.137,0.0658,0,0.303,0.643,99.895,189173,4
Lil Peep,Falling Down - Bonus Track,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4
HUNNY,Televised,0.591,0.746,8,-7.762,1,0.0444,0.000729,0,0.127,0.432,107.965,194717,4
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,193040,4
My Sun and Stars,Beautiful Day,0.746,0.643,2,-5.924,1,0.0307,0.817,0.00139,0.107,0.949,119.99,191525,4
Beni Fahr,Not OK,0.583,0.522,8,-12.381,0,0.0648,0.0664,1.1e-06,0.103,0.448,150.121,193600,4
Bad Bunny,MIA (feat. Drake),0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4
Ryan Davies,Slow Motion,0.672,0.655,7,-3.171,1,0.037,0.175,0,0.168,0.55,169.857,197616,4
Ryan Davies,Chasing Clouds,0.579,0.7,7,-3.854,0,0.0309,0.105,0,0.0903,0.166,141.977,253702,4
Ariana Grande,no tears left to cry,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4
Jess Glynne,I'll Be There,0.627,0.858,7,-3.116,1,0.0394,0.0288,0,0.199,0.399,100.074,194387,4
Jonas Blue,Rise,0.687,0.785,1,-4.65,1,0.0333,0.327,0,0.203,0.655,106.046,194408,4
Tiësto,Jackie Chan,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760,4
OneRepublic,Start Again (feat. Logic),0.564,0.722,1,-5.59,0,0.124,0.162,0,0.0931,0.276,99.083,165627,4
Treble Soul,Addiction,0.416,0.223,2,-11.377,1,0.0312,0.776,9.1e-06,0.106,0.219,92.677,206106,5
Treble Soul,Losing Game,0.572,0.281,9,-14.081,1,0.0289,0.0283,0,0.0695,0.308,154.073,255634,4
Treble Soul,When I'm Drunk,0.443,0.646,9,-7.001,1,0.0329,0.0006,2.68e-05,0.329,0.268,151.988,202527,4
Treble Soul,Colder Than,0.436,0.505,4,-9.471,0,0.0436,0.000736,2.07e-05,0.154,0.0762,122.146,202109,3
Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,157067,4
Jax Jones,You Don't Know Me,0.874,0.67,11,-6.064,0,0.126,0.165,0,0.185,0.68,124.011,213947,4
Alex & Sierra,Little Do You Know,0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,185200,4
Them Fangs,Do Your Own Damn Thing,0.646,0.868,9,-4.243,1,0.0449,0.0235,0,0.104,0.735,130.989,227604,4
Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),0.688,0.473,8,-9.059,1,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,4
The Cranberries,Dreams,0.551,0.643,4,-13.091,1,0.0353,0.00313,0.00385,0.421,0.514,128.661,271560,4
Vance Joy,Like Gold,0.477,0.712,7,-6.759,1,0.0653,0.224,8.36e-06,0.118,0.407,109.965,224400,4
Quinn XCII,Iron & Steel,0.784,0.485,5,-5.116,1,0.0952,0.469,0,0.2,0.581,140.191,203000,4
ayokay,Kings of Summer - Single Version,0.734,0.661,11,-6.705,1,0.0356,0.222,2.18e-06,0.201,0.253,134.93,207881,4
Rainbow Kitten Surprise,Mr. Redundant,0.837,0.308,0,-8.21,1,0.0482,0.783,0,0.0901,0.171,119.956,210417,4
Matt Maeson,Cringe,0.727,0.47,5,-7.698,1,0.0588,0.0749,0,0.0884,0.397,126.044,215267,4
Hippie Sabotage,Your Soul,0.487,0.68,7,-8.497,0,0.0408,0.000599,0.0339,0.144,0.0752,94.46,324807,3
Quinn XCII,Stung,0.795,0.638,1,-5.481,1,0.0629,0.331,0,0.106,0.24,118.14,234661,4
Quinn XCII,Make Time,0.815,0.712,1,-4.577,1,0.176,0.204,0,0.145,0.713,91.032,202823,4
